brand,model,price,cpu,battery,memory
小米 ,小米 15,4299,骁龙8 Elite,5400,12+256
小米 ,小米 17 Pro,4999,骁龙8 Elite Gen5,6300,12+256
小米 ,小米 17 Pro Max,5999,骁龙8 Elite Gen5,7500,12+512
小米 ,小米 17,4499,骁龙8 Elite Gen5,7000,12+256
小米 ,红米 K90,2599,骁龙8 Elite,7100,12+256
小米 ,红米 K90 ProMax,3999,骁龙8 Elite Gen5,7560,12+256
小米 ,红米 K80 Pro,3699,骁龙8 Elite,6000,12+256
小米 ,小米15 Ultra,6499,骁龙8 Elite,6000,12+256
小米 ,红米K70至尊版,2599,天玑9300+,5500,12+256
小米 ,小米 14,4299,骁龙8 Gen3,4610,12+256
小米 ,小米 14 Pro,4999,骁龙8 Gen3,4880,12+256
小米 ,小米13 Pro,5799,骁龙8 Gen2,4820,12+256
小米 ,小米13,4599,骁龙8 Gen2,4500,12+256
华为,华为mate60pro,6499,麒麟9000S,5000,12+256
华为,华为mate60pro+,8499,麒麟9000s,5000,16+512
华为,华为mate60RS,11999,麒麟9000s,5000,16+512
华为,华为mate70pro,6499,麒麟9020,5500,12+256
华为,华为mate70pro+,8499,麒麟9020,5700,16+512
华为,华为mate70RS,11999,麒麟9020,5700,16+512
华为,华为mate80pro,5999,麒麟9030,5750,12+256
华为,华为mate80promax,7999,麒麟9030Pro,6000,16+512
苹果,iPhone15 pro max,9999,A17 Pro,4422,256
苹果,iPhone16 pro max,9999,A18 Pro,4685,256
苹果,iPhone17 pro max,9999,A19 Pro,4823,256
苹果,iPhone15 pro,8999,A17 Pro,3274,128
苹果,iPhone16 pro,8999,A18 Pro,3582,128
苹果,iPhone17 pro,8999,A19 Pro,3988,256
苹果,iPhone Air,8999,A19 Pro,3036,256
荣耀,荣耀magic6pro,5699,骁龙8 Gen3,5600,12+256
荣耀,荣耀magic7pro,5999,骁龙8 Elite,5850,12+256
荣耀,荣耀magic8pro,5699,骁龙8 Elite Gen5,7200,12+256
荣耀,荣耀magic6,4399,骁龙8 Gen3,5450,12+256
荣耀,荣耀magic7,4499,骁龙8 Elite,5650,12+256
荣耀,荣耀magic8,4499,骁龙8 Elite Gen5,7000,12+256
荣耀,荣耀magic6RSR,6999,骁龙8 Gen3,5600,16+512
荣耀,荣耀magic7RSR,8999,骁龙8 Elite,5850,16+512
VIVO,VIVOX100Ultra,6499,骁龙8 Gen3,5500,12+256
VIVO,vivo X100,4299,天玑9300,5000,12+256
VIVO,vivo X100 Pro,4999,天玑9300,5400,12+256
VIVO,vivo X90s,4299,天玑9200+,4810,12+256
VIVO,vivo X90 Pro,5499,天玑9200,4870,12+256
VIVO,vivo X90,4499,天玑9200,4810,12+256
VIVO,vivo X90 Pro+,6499,骁龙8 Gen2,4700,12+256
VIVO,vivo X200 Ultra,6499,骁龙8 Elite,6000,12+256
VIVO,vivo X200 Pro,5299,天玑9400,6000,12+256
VIVO,vivo X200,4299,天玑9400,5800,12+256
VIVO,vivo X200 Pro Mini,4699,天玑9400,5700,12+256
VIVO,vivo X200s,4199,天玑9400+,6200,12+256
VIVO,vivo X300,4399,天玑9500,6040,12+256
VIVO,vivo X300 Pro,5299,天玑9500,6510,12+256
VIVO,vivo X300 Ultra,6999,骁龙8 Elite Gen5,6600,12+256
VIVO,vivo X300s,4999,天玑9500,7100,12+256
OPPO,OPPO find X7,3999,天玑9300,5000,12+256
OPPO,OPPO find X7 ULTRA,5999,骁龙8 Gen3,5000,12+256
OPPO,OPPO find X6,4499,天玑9200,4800,12+256
OPPO,OPPO find X6Pro,5999,骁龙8 Gen2,5000,12+256
OPPO,OPPO find X8 Ultra,6499,骁龙8 Elite,6100,12+256
OPPO,OPPO find X8,4199,天玑9400,5630,12+256
OPPO,OPPO find X8Pro,5299,天玑9400,5910,12+256
OPPO,OPPO find X8s,4199,天玑9400+,5700,12+256
OPPO,OPPO find X8s+,4199,天玑9400+,6000,12+256
OPPO,OPPO find X9,4399,天玑9500,7025,12+256
OPPO,OPPO find X9Pro,5299,天玑9500,7500,12+256
OPPO,一加 12,4299,骁龙8 Gen3,5400,12+256
OPPO,一加 13,4499,骁龙8 Elite,6000,12+256
OPPO,一加 15,3999,骁龙8 Elite Gen5,7300,12+256
